1,MOSKVA (Moscow),Russia,8297000
2,LONDON,UK,7074000
3,St Petersburg,Russia,4678000
4,BERLIN,Germany,3387000
5,MADRID,Spain,2824000
6,ROMA,Italy,2649000
7,KIEV,Ukraine,2590000
8,PARIS,France,2152000
9,BUCURESTI (Bucharest),Romania,2016000
10,BUDAPEST,Hungary,1825000
11,Hamburg,Germany,1705000
12,MINSK,Belarus,1677000
13,WARSZAWA (Warsaw),Poland,1615000
14,BEOGRAD (Belgrade),Serbia,1594000
15,WIEN (Vienna),Austria,1540000
16,Kharkov,Ukraine,1494000
17,Barcelona,Spain,1455000
18,Novosibirsk,Russia,1400000
19,Nizhny Novgorod,Russia,1358000
20,Milano (Milan),Italy,1306000
21,Ekaterinoburg,Russia,1267000
22,München (Munich),Germany,1195000
23,PRAHA (Prague),Czech Republic,1193000
24,Samara,Russia,1165000
25,Omsk,Russia,1153000
26,SOFIA,Bulgaria,1139000
27,Dnepropetrovsk,Ukraine,1108000
28,Kazan,Russia,1092000
29,Ufa,Russia,1088000
30,Chelyabinsk,Russia,1084000
31,Donetsk,Ukraine,1050000
32,Napoli (Naples),Italy,1047000
33,Birmingham,UK,1021000
34,Perm,Russia,1014000
35,Rostov-na-Donu,Russia,1003000
36,Odessa,Ukraine,1002000
37,Volgograd,Russia,992000
38,Köln (Cologne),Germany,963000
39,Torino (Turin),Italy,921000
40,Voronezh,Russia,903000
41,Krasnoyarsk,Russia,876000
42,Saratov,Russia,875000
43,ZAGREB,Croatia,868000
44,Zaporozhye,Ukraine,850000
45,Lódz,Poland,803000
46,Marseille,France,800000
47,RIGA,Latvia,793000
48,Lvov,Ukraine,786000
49,ATHINAI (Athens),Greece,772000
50,Salonika,Greece,749000
51,STOCKHOLM,Sweden,744000
52,Kraków,Poland,740000
53,Valencia,Spain,736000
54,AMSTERDAM,Netherlands,729000
55,Leeds,UK,727000
56,Tolyatti,Russia,720000
57,Kryvy Rig,Ukraine,705000
58,Sevilla,Spain,695000
59,Palermo,Italy,689000
60,Ulyanovsk,Russia,668000
61,KISHINEV,Moldova,658000
62,Genova,Italy,656000
63,Izhevsk,Russia,654000
64,Frankfurt am Main,Germany,644000
65,Krasnodar,Russia,640000
66,Wroclaw (Breslau),Poland,637000
67,Glasgow,UK,616000
68,Yaroslave,Russia,614000
69,Khabarovsk,Russia,609000
70,Vladivostok,Russia,607000
71,Zaragoza,Spain,601000
72,Essen,Germany,600000
73,Rotterdam,Netherlands,593000
74,Irkutsk,Russia,591000
75,Dortmund,Germany,590000
76,Stuttgart,Germany,582000
77,Barnaul,Russia,580000
78,VILNIUS,Lithuania,578000
79,Poznan,Poland,578000
80,Düsseldorf,Germany,569000
81,Novokuznetsk,Russia,564000
82,LISBOA (Lisbon),Portugal,563000
83,HELSINKI,Finland,549000
84,Málaga,Spain,543000
85,Bremen,Germany,540000
86,Sheffield,UK,530000
87,SARAJEVO,Bosnia,529000
88,Penza,Russia,528000
89,Ryazan,Russia,528000
90,Orenburg,Russia,523000
91,Naberezhnye Tchelny,Russia,521000
92,Duisburg,Germany,520000
93,Lipetsk,Russia,519000
94,Hannover,Germany,515000
95,Mykolaiv,Ukraine,510000
96,Tula,Russia,506000
97,OSLO,Norway,505000
98,Tyumen,Russia,502000
99,KOBENHAVN (Copenhagen),Denmark,499000
100,Kemerovo,Russia,492000
